Age,Gender,Weight (kg),Height (m),BMI,Low_BPM,Avg_BPM,High_BPM,Session_Duration (hours),Calories_Burned,Daily_Calorie_Intake (kcal),Calorie_Balance (kcal),Protein_Intake (g/day),Workout_Type,Workout_Frequency (days/week),Rest_Days_Per_Week,Fitness_Goal,Preferred_Workout_Time,Fat_Percentage,Water_Intake (liters),Experience_Level,Membership_Duration (months),Work_Type,Income_Level,Diet_Type,Sleep_Hours_Per_Day,Smoking,Alcohol_Consumption,Medical_Condition
41,1,120.8,1.67,43.31,100,146,168,0.82,593.0,3308.0,2715.0,210.6,1,2,5,3,2,20.5,3.0,1,9,2,0,3,8.2,0,0,1
53,1,51.7,1.7,17.89,100,152,169,1.15,865.0,1369.0,504.0,104.9,1,3,4,3,0,23.6,3.5,2,16,1,2,0,7.6,1,1,1
57,1,112.5,1.61,43.4,100,165,181,1.24,1013.0,2640.0,1627.0,266.2,0,3,3,3,1,22.1,2.7,2,24,1,1,1,6.8,0,0,5
41,1,94.5,2.0,23.62,100,136,162,1.18,794.0,2852.0,2058.0,134.0,1,3,4,1,0,27.6,3.7,1,4,2,0,0,6.0,0,2,3
20,1,117.7,1.81,35.93,100,161,181,1.35,1195.0,3063.0,1868.0,281.4,3,3,3,3,2,26.4,3.3,2,28,2,0,1,6.6,0,1,3
39,0,42.5,1.75,13.88,100,131,147,1.13,740.0,1571.0,831.0,84.6,2,2,5,2,1,26.2,2.1,1,1,2,2,2,8.1,0,1,5
19,0,64.0,1.53,27.34,100,167,182,1.33,1111.0,1640.0,529.0,95.8,1,3,4,3,3,29.8,2.3,2,18,2,1,0,8.9,1,0,1
41,0,43.8,1.77,13.98,100,165,191,1.19,884.0,1200.0,316.0,69.1,0,3,4,3,2,31.9,1.6,1,1,0,2,0,8.8,1,0,5
47,0,66.8,1.75,21.81,100,146,172,1.13,742.0,2143.0,1401.0,153.5,2,3,5,2,0,32.8,2.5,2,6,0,1,0,6.8,1,0,5
55,0,75.2,1.67,26.96,100,167,198,1.37,1030.0,2027.0,997.0,123.2,1,2,5,0,3,25.2,2.2,1,8,2,1,2,5.9,0,0,2
19,1,89.0,1.77,28.41,100,127,151,1.5,1048.0,3205.0,2157.0,206.7,2,4,3,2,1,28.9,3.7,2,18,0,2,1,7.4,0,0,5
38,1,71.9,1.77,22.95,100,142,172,1.12,875.0,2371.0,1496.0,169.6,0,2,5,1,1,25.7,3.1,1,6,2,1,1,5.2,0,1,5
50,0,71.0,1.68,25.16,100,161,190,1.17,848.0,2414.0,1566.0,170.1,3,2,5,2,1,33.1,2.5,1,3,2,2,3,7.3,0,2,4
29,1,120.9,1.78,38.16,100,168,197,0.78,721.0,2803.0,2082.0,177.1,3,2,4,3,3,28.1,3.4,1,10,2,2,0,6.9,0,0,1
39,0,64.3,1.69,22.51,100,148,181,1.25,925.0,1878.0,953.0,108.0,1,4,3,1,1,26.9,1.9,2,12,0,1,3,6.8,1,0,5
42,0,63.7,1.71,21.78,100,169,195,1.42,1080.0,2034.0,954.0,110.2,3,3,3,0,3,26.1,1.8,2,27,1,2,0,5.4,0,2,5
44,1,65.2,1.8,20.12,100,139,173,0.73,502.0,2232.0,1730.0,117.8,1,2,4,2,1,27.2,2.7,1,5,2,0,1,7.5,0,0,5
59,1,53.9,1.75,17.6,100,135,152,1.48,989.0,1290.0,301.0,106.7,2,4,2,0,1,21.6,2.8,2,8,0,1,3,6.8,0,0,4
45,1,84.9,1.86,24.54,100,136,155,1.64,1104.0,3083.0,1979.0,182.4,1,5,2,2,2,14.2,3.5,3,37,0,0,1,6.1,0,1,3
33,0,78.0,1.68,27.64,100,135,168,1.29,871.0,2642.0,1771.0,127.3,1,3,3,0,0,32.3,1.8,2,21,2,2,0,4.1,0,1,5
32,1,108.2,1.8,33.4,100,138,159,1.27,964.0,2579.0,1615.0,154.1,1,3,4,3,1,28.4,3.5,1,4,0,2,0,7.3,0,0,5
20,0,65.4,1.52,28.31,100,127,150,1.03,654.0,1490.0,836.0,99.7,3,4,2,3,0,28.0,2.2,2,34,2,2,0,8.8,0,0,5
54,0,50.2,1.61,19.37,100,157,178,1.48,1046.0,1411.0,365.0,60.8,1,2,5,3,1,28.2,2.7,1,11,2,1,0,8.7,0,0,2
24,0,58.9,1.51,25.83,100,157,189,1.04,816.0,1712.0,896.0,89.2,0,2,5,1,2,31.7,2.5,1,11,1,1,0,6.5,0,0,5
38,1,81.4,1.71,27.84,100,148,166,1.52,1237.0,1824.0,587.0,107.3,1,5,3,3,1,10.2,3.5,3,24,1,0,0,6.4,0,0,3
26,1,127.6,1.73,42.63,100,160,188,1.32,1162.0,3889.0,2727.0,187.1,2,3,4,0,2,27.3,2.9,1,9,1,2,2,7.5,0,0,5
56,0,59.3,1.56,24.37,100,155,187,1.26,879.0,1821.0,942.0,121.5,0,4,3,1,3,33.4,2.6,2,10,2,2,1,6.0,0,0,1
35,1,96.9,1.71,33.14,100,145,168,1.34,1069.0,3185.0,2116.0,209.8,2,3,4,2,1,24.2,2.9,2,23,2,2,2,7.3,0,2,2
21,1,62.6,1.81,19.11,100,150,166,1.3,1072.0,1991.0,919.0,140.2,2,4,3,2,2,27.6,3.5,2,17,1,2,0,7.8,0,0,3
42,1,45.5,1.6,17.77,100,163,197,1.31,1057.0,1587.0,530.0,98.2,2,3,3,2,0,21.7,2.6,2,16,0,2,0,8.5,0,2,5
31,0,48.8,1.51,21.4,100,131,160,1.48,969.0,1634.0,665.0,76.0,0,2,5,0,0,28.2,2.0,1,9,2,1,3,6.9,0,0,3
26,0,44.3,1.6,17.3,100,136,157,1.08,734.0,1289.0,555.0,57.0,0,3,4,0,2,34.7,2.0,1,7,0,2,0,7.1,0,0,1
43,1,113.2,1.83,33.8,100,134,160,1.45,962.0,3693.0,2731.0,247.0,3,4,4,2,1,29.9,2.9,2,19,2,2,0,6.1,1,1,3
19,0,60.5,1.59,23.93,100,128,150,1.14,730.0,1708.0,978.0,81.4,0,2,5,1,2,30.1,2.2,1,8,1,1,3,6.2,0,0,4
37,1,124.2,1.76,40.1,100,158,187,1.5,1304.0,3886.0,2582.0,300.0,1,2,5,1,3,29.3,2.8,1,3,2,2,1,6.8,0,0,1
45,1,52.4,1.85,15.31,100,161,178,1.2,956.0,1689.0,733.0,97.0,2,3,5,1,2,25.2,2.5,1,7,1,2,0,7.4,0,1,4
24,1,54.7,1.74,18.07,100,167,195,0.84,772.0,1795.0,1023.0,78.8,3,3,5,1,1,22.9,3.6,1,11,2,1,3,7.9,0,1,3
25,1,88.1,1.95,23.17,100,131,162,1.41,1016.0,2608.0,1592.0,140.9,0,2,5,0,2,22.7,3.0,1,1,0,1,0,6.5,0,0,5
52,0,59.7,1.71,20.42,100,151,169,1.23,836.0,1568.0,732.0,77.5,2,3,3,0,0,34.3,2.0,1,6,0,1,2,8.8,0,1,5
31,0,79.7,1.54,33.61,100,144,176,1.03,742.0,2528.0,1786.0,112.1,0,4,3,1,1,26.7,2.3,2,31,2,0,0,6.7,0,0,5
34,0,51.0,1.62,19.43,100,158,180,1.42,1122.0,1674.0,552.0,78.5,3,3,3,0,1,30.8,2.4,2,11,1,0,0,7.0,0,0,4
53,1,84.2,1.76,27.18,100,137,155,1.67,1133.0,2281.0,1148.0,144.8,0,5,3,1,1,12.8,3.5,3,82,1,0,0,6.3,0,0,0
57,1,122.1,1.89,34.18,100,134,150,1.13,750.0,2743.0,1993.0,300.0,0,3,3,3,1,27.4,3.6,1,10,1,0,1,4.6,0,0,1
21,1,96.7,1.72,32.69,100,151,171,1.26,1046.0,3326.0,2280.0,212.4,2,3,3,2,2,25.0,2.8,1,6,1,1,0,7.9,0,0,5
19,0,73.0,1.79,22.78,100,125,149,0.81,506.0,2039.0,1533.0,104.1,1,3,3,0,1,27.7,1.6,1,3,0,0,0,8.0,1,0,5
23,1,114.8,1.6,44.84,100,163,181,1.47,1318.0,3167.0,1849.0,251.5,0,4,3,1,2,21.7,2.7,2,11,1,2,1,6.7,0,2,0
59,0,65.5,1.52,28.35,100,162,194,1.4,1021.0,1761.0,740.0,77.2,3,3,5,3,2,31.2,2.1,2,19,2,1,0,7.1,1,0,3
21,0,50.3,1.52,21.77,100,154,180,1.08,832.0,1581.0,749.0,86.9,0,3,5,0,1,32.2,2.6,1,3,2,2,3,7.5,0,0,5
46,0,61.0,1.71,20.86,100,153,169,1.67,1150.0,1843.0,693.0,92.1,0,4,3,0,1,17.8,2.7,3,33,2,2,1,5.4,0,0,3
35,0,44.6,1.62,16.99,100,157,181,0.56,440.0,1381.0,941.0,89.3,1,2,4,2,1,32.4,2.0,1,9,2,2,2,6.5,1,0,5
43,0,58.2,1.61,22.45,100,124,142,1.04,580.0,1815.0,1235.0,88.5,2,3,3,0,1,26.4,2.6,2,28,2,2,3,7.8,1,0,5
51,0,44.8,1.63,16.86,100,137,165,1.08,666.0,1262.0,596.0,64.3,3,4,3,0,0,33.8,2.1,2,35,2,2,3,5.7,1,0,3
27,1,87.5,1.63,32.93,100,135,165,1.75,1299.0,2972.0,1673.0,171.5,2,5,2,2,0,12.9,3.5,3,75,1,2,0,7.3,0,1,5
53,1,51.8,1.74,17.11,100,127,156,1.23,773.0,1807.0,1034.0,98.6,2,3,4,2,2,21.3,3.7,2,24,2,1,1,5.6,0,0,2
31,0,64.4,1.7,22.28,100,144,166,1.97,1418.0,2111.0,693.0,125.3,2,5,2,2,1,17.3,2.7,3,45,2,0,0,7.5,0,0,5
48,0,67.1,1.61,25.89,100,151,179,0.62,421.0,2101.0,1680.0,89.4,0,2,5,0,0,33.4,1.5,1,9,0,0,3,7.3,1,0,5
32,1,85.9,1.6,33.55,100,145,167,1.99,1587.0,2110.0,523.0,208.6,1,5,2,3,0,14.5,3.5,3,42,2,0,1,5.4,1,1,5
25,0,65.4,1.77,20.88,100,141,171,0.89,627.0,1601.0,974.0,176.1,0,3,5,3,1,27.6,2.6,1,8,1,2,1,8.2,1,1,1
31,0,61.1,1.76,19.72,100,150,177,1.81,1358.0,1749.0,391.0,94.4,3,4,4,1,1,18.6,2.7,3,77,2,0,0,6.3,1,1,5
40,1,106.5,1.65,39.12,100,162,194,1.32,1176.0,3745.0,2569.0,248.3,1,4,4,2,0,21.0,3.6,2,9,1,2,1,6.2,0,0,3
57,0,64.0,1.52,27.7,100,129,158,1.73,1004.0,1741.0,737.0,117.6,2,5,2,0,1,15.2,2.7,3,28,1,2,1,7.2,0,0,5
38,0,61.4,1.54,25.89,100,131,158,1.47,963.0,2008.0,1045.0,132.6,1,3,4,2,1,30.6,2.7,2,24,2,1,0,8.1,0,1,5
33,0,40.5,1.63,15.24,100,147,170,1.07,786.0,1200.0,414.0,57.0,3,4,3,0,1,31.9,1.5,2,19,2,2,1,6.0,1,2,5
35,1,70.1,1.79,21.88,100,125,154,1.08,743.0,2198.0,1455.0,102.7,0,3,4,0,2,28.0,2.3,2,23,1,0,2,7.1,0,0,0
41,1,94.1,1.62,35.86,100,139,166,1.13,777.0,2349.0,1572.0,126.6,0,4,3,3,2,23.4,3.1,2,30,1,1,3,7.4,0,1,4
43,1,55.5,1.82,16.76,100,124,139,1.08,663.0,1906.0,1243.0,135.3,2,3,3,2,2,20.1,2.0,1,3,1,0,0,7.7,0,0,5
42,0,53.7,1.72,18.15,100,142,163,1.37,875.0,1607.0,732.0,86.5,0,3,3,0,1,29.8,1.6,1,6,1,2,3,7.2,0,0,5
58,0,66.1,1.75,21.58,100,128,151,0.63,363.0,2193.0,1830.0,117.1,0,2,4,0,3,25.2,1.8,1,5,2,2,0,6.6,1,0,4
46,1,103.9,1.77,33.16,100,148,163,1.18,864.0,2753.0,1889.0,198.5,3,2,5,3,1,20.9,2.9,1,10,2,1,1,6.2,0,0,5
32,0,61.7,1.58,24.72,100,135,161,1.87,1262.0,2054.0,792.0,111.5,1,5,1,2,2,16.6,2.7,3,66,2,2,0,7.1,0,2,0
18,0,52.3,1.74,17.27,100,165,187,1.2,990.0,1365.0,375.0,76.7,0,2,5,3,1,29.4,2.2,1,8,1,0,0,5.9,0,2,5
42,0,59.5,1.74,19.65,100,141,166,1.78,1129.0,1530.0,401.0,101.0,3,5,2,3,1,16.4,2.7,3,28,0,2,0,4.4,0,0,4
24,0,72.9,1.76,23.53,100,127,160,0.86,546.0,2214.0,1668.0,168.9,3,3,4,1,3,30.8,1.5,1,11,2,1,1,7.4,0,0,1
26,0,76.7,1.63,28.87,100,139,170,1.08,751.0,2572.0,1821.0,173.0,2,2,4,2,1,25.6,1.7,1,8,2,1,0,7.9,0,0,2
41,1,72.1,1.83,21.53,100,133,155,1.13,744.0,2206.0,1462.0,102.8,3,3,5,0,3,21.4,2.8,2,32,2,1,1,4.6,0,0,3
18,0,54.8,1.68,19.42,100,158,175,1.27,1003.0,1941.0,938.0,110.1,2,4,2,2,2,32.0,2.2,2,10,2,1,1,6.0,0,0,5
25,1,105.0,1.88,29.71,100,156,173,1.34,1150.0,3004.0,1854.0,253.8,0,3,3,1,2,21.4,2.3,2,16,1,2,1,7.6,0,1,4
41,0,55.0,1.55,22.89,100,169,184,1.45,1103.0,1938.0,835.0,114.2,2,4,3,2,2,31.4,2.0,2,31,0,2,0,9.4,0,0,5
28,1,81.6,1.66,29.61,100,153,172,1.09,917.0,2617.0,1700.0,137.4,3,4,3,0,1,20.5,3.5,2,18,1,2,0,7.0,0,0,5
34,0,75.6,1.6,29.53,100,130,154,0.64,416.0,1951.0,1535.0,126.1,1,2,5,3,2,29.1,2.7,1,6,0,1,0,6.6,1,0,1
25,1,81.5,1.61,31.44,100,159,180,1.93,1688.0,2622.0,934.0,206.2,1,4,3,1,1,10.9,3.5,3,60,2,0,1,6.8,0,1,0
52,0,61.5,1.69,21.53,100,152,175,1.8,1231.0,1905.0,674.0,129.0,0,4,4,1,0,15.5,2.7,3,41,1,0,1,8.4,0,1,2
52,1,74.0,1.63,27.85,100,150,171,1.26,936.0,2175.0,1239.0,134.2,0,3,5,1,0,25.7,3.7,2,31,1,1,0,6.4,0,0,5
50,0,56.4,1.59,22.31,100,163,186,1.26,924.0,1913.0,989.0,127.2,1,3,4,2,1,34.3,2.6,1,10,0,1,2,6.5,0,1,1
22,1,102.6,1.84,30.3,100,153,175,1.25,1052.0,2461.0,1409.0,152.8,2,3,3,3,2,20.5,2.7,2,21,1,1,3,6.5,0,1,0
59,0,54.6,1.57,22.15,100,169,195,0.58,441.0,1870.0,1429.0,113.4,0,3,4,2,2,29.2,2.3,1,6,0,2,1,6.3,1,0,5
56,1,129.0,1.78,40.71,99,126,142,1.29,805.0,3237.0,2432.0,133.5,3,2,5,3,1,27.1,2.7,1,7,0,2,2,7.4,0,0,3
58,1,103.5,1.66,37.56,100,168,183,1.33,1106.0,2799.0,1693.0,103.6,0,3,4,1,2,24.6,3.1,1,3,0,0,2,8.9,1,0,5
45,0,59.4,1.51,26.05,100,142,172,1.15,735.0,1506.0,771.0,78.4,2,4,3,3,1,33.1,1.9,2,8,2,1,2,7.3,0,0,5
24,0,60.1,1.79,18.76,100,165,184,1.97,1625.0,1403.0,-222.0,98.7,0,4,2,3,3,15.9,2.7,3,35,2,2,3,6.7,1,0,2
26,1,77.7,1.62,29.61,100,126,143,1.16,804.0,2045.0,1241.0,108.1,3,3,5,3,3,29.6,3.0,2,28,2,1,3,6.7,0,2,3
25,0,41.2,1.62,15.7,100,144,170,1.49,1073.0,1200.0,127.0,67.8,3,4,3,3,1,28.9,2.1,2,20,0,2,0,5.7,0,0,1
29,1,58.6,1.61,22.61,100,122,144,1.2,805.0,1863.0,1058.0,119.9,3,3,5,2,0,23.4,2.0,2,16,2,2,1,7.9,0,0,2
51,1,109.3,1.78,34.5,100,157,174,0.54,420.0,3202.0,2782.0,182.8,2,3,4,0,0,28.7,3.3,1,10,0,1,1,7.2,0,0,3
50,1,69.6,1.96,18.12,100,139,154,0.97,667.0,2294.0,1627.0,126.8,2,3,5,2,2,25.6,2.0,1,4,1,2,0,6.8,0,1,0
40,0,56.2,1.79,17.54,100,153,170,1.79,1369.0,1425.0,56.0,84.5,3,5,2,3,0,17.6,2.7,3,70,2,0,2,10.0,0,0,5
41,1,71.7,1.96,18.66,100,168,187,0.51,424.0,2313.0,1889.0,124.3,3,2,5,0,2,27.3,2.5,1,2,0,2,0,7.6,0,1,0
54,1,86.0,1.93,23.09,100,163,192,1.74,1404.0,2636.0,1232.0,188.1,2,5,3,2,0,12.9,3.5,3,80,1,2,0,6.2,1,0,5
52,0,79.4,1.59,31.41,100,163,191,1.39,1020.0,1916.0,896.0,105.9,2,3,4,3,3,26.6,1.5,2,19,2,0,3,6.6,0,0,2
57,0,78.4,1.62,29.87,100,149,166,1.01,677.0,2712.0,2035.0,174.6,2,4,3,2,0,31.7,2.0,2,34,2,0,1,8.1,1,0,5
39,0,55.4,1.6,21.64,100,136,151,1.44,979.0,1680.0,701.0,90.6,1,3,4,0,1,26.3,1.6,2,30,2,0,0,7.1,0,0,5
44,0,61.7,1.55,25.68,100,129,148,1.41,819.0,1953.0,1134.0,98.2,2,4,3,0,1,33.1,2.6,2,11,2,0,0,5.6,0,0,1
52,1,85.5,1.82,25.81,100,154,182,1.78,1357.0,2547.0,1190.0,125.3,3,4,3,0,0,14.9,3.5,3,69,1,0,1,7.9,0,0,3
18,1,87.6,1.93,23.52,100,139,160,1.72,1315.0,2265.0,950.0,176.7,1,4,4,3,3,11.9,3.5,3,39,1,0,1,6.3,0,0,3
52,1,82.4,1.72,27.85,100,137,160,1.01,685.0,2464.0,1779.0,124.9,2,4,4,1,2,24.4,2.7,2,7,0,1,3,9.2,0,0,3
54,1,67.0,1.68,23.74,100,164,193,0.55,446.0,2137.0,1691.0,106.9,3,3,4,1,1,20.5,2.8,1,3,1,2,0,8.1,1,0,1
31,0,42.3,1.6,16.52,100,163,192,1.09,888.0,1211.0,323.0,53.7,0,3,3,1,0,25.1,1.9,2,10,1,2,2,6.6,0,1,5
20,1,82.7,1.99,20.88,100,146,170,1.69,1357.0,1744.0,387.0,121.6,1,5,1,3,2,14.6,3.5,3,34,2,0,0,8.3,0,2,5
18,1,92.4,1.74,30.52,100,168,195,1.41,1303.0,2945.0,1642.0,211.4,3,2,5,1,0,21.3,3.1,1,11,1,2,1,7.1,0,0,5
22,0,63.2,1.54,26.65,100,155,188,1.02,790.0,1919.0,1129.0,161.9,0,4,2,1,1,29.5,2.4,2,26,0,2,1,8.2,0,0,5
43,1,82.7,1.85,24.16,100,142,163,1.22,858.0,2417.0,1559.0,172.5,3,4,3,1,2,28.2,3.1,2,34,1,2,1,7.5,0,1,5
31,1,86.6,1.76,27.96,100,151,182,1.29,1071.0,2163.0,1092.0,115.6,2,3,5,3,2,28.9,3.3,2,30,1,0,2,6.2,0,0,5
56,1,129.5,1.95,34.06,100,129,163,1.0,639.0,4087.0,3448.0,208.8,2,2,5,0,2,25.2,3.5,1,10,2,1,3,6.4,0,2,3
44,1,98.0,1.83,29.26,100,130,148,1.28,824.0,2631.0,1807.0,112.2,0,4,2,1,1,25.7,3.5,2,24,2,2,2,8.0,0,0,5
26,1,86.2,1.68,30.54,100,157,176,1.97,1701.0,2802.0,1101.0,171.4,2,5,3,2,1,13.3,3.5,3,55,2,0,3,6.7,0,0,3
32,1,78.6,1.62,29.95,100,125,146,1.28,880.0,2699.0,1819.0,170.6,3,3,4,2,0,29.6,3.1,1,2,0,1,0,6.9,0,2,4
32,0,59.0,1.66,21.41,100,160,187,0.51,408.0,1804.0,1396.0,139.0,0,2,5,1,0,31.0,1.8,1,10,1,1,1,6.0,0,0,5
43,0,57.3,1.79,17.88,100,166,195,1.98,1479.0,1817.0,338.0,93.5,3,4,2,0,3,17.8,2.7,3,31,1,2,3,7.4,0,1,3
59,1,122.3,1.89,34.24,100,153,178,0.66,500.0,4396.0,3896.0,288.2,3,3,3,2,1,20.1,3.1,1,7,2,0,0,9.1,0,0,1
30,1,85.3,1.95,22.43,100,155,173,1.61,1373.0,2404.0,1031.0,135.1,3,5,2,0,1,10.4,3.5,3,35,0,1,0,6.2,1,0,5
49,0,45.2,1.74,14.93,100,156,183,1.24,870.0,1307.0,437.0,69.4,2,3,5,1,1,30.8,2.1,2,14,0,2,0,7.3,0,0,1
56,1,55.6,1.92,15.08,100,136,157,0.68,458.0,1425.0,967.0,82.9,2,3,4,3,1,29.4,3.2,1,3,2,2,0,8.4,0,1,3
49,1,82.8,1.95,21.78,100,159,192,1.91,1503.0,2550.0,1047.0,141.3,3,5,2,0,1,14.3,3.5,3,29,2,0,3,6.9,0,1,5
21,1,125.2,1.66,45.43,100,159,175,1.38,1207.0,4124.0,2917.0,258.1,1,3,4,2,3,29.8,3.4,2,26,2,0,1,7.5,0,0,5
47,0,58.5,1.79,18.26,100,131,155,1.42,837.0,1852.0,1015.0,86.8,3,4,3,1,3,30.3,2.4,2,26,1,2,0,5.9,1,0,3
54,1,86.1,1.95,22.64,100,140,167,1.17,811.0,2338.0,1527.0,124.7,3,2,5,0,2,27.9,3.4,1,10,2,0,0,7.4,0,0,1
40,0,63.5,1.61,24.5,100,159,179,1.31,1041.0,1902.0,861.0,108.4,0,3,4,1,2,33.4,1.6,2,29,0,1,3,7.1,0,0,5
56,1,69.3,1.68,24.55,100,138,164,0.66,451.0,2198.0,1747.0,98.8,3,2,5,1,3,26.5,2.1,1,1,1,2,0,8.0,0,0,3
32,0,70.5,1.62,26.86,100,122,148,1.24,756.0,1876.0,1120.0,85.9,2,2,5,3,0,28.4,1.8,1,1,2,2,2,8.2,0,0,2
46,0,60.1,1.65,22.08,100,137,171,1.69,1042.0,1982.0,940.0,106.2,0,4,4,0,3,17.3,2.7,3,58,1,2,2,9.6,1,1,5
53,1,94.1,1.95,24.75,100,138,163,0.89,608.0,2290.0,1682.0,240.9,1,3,4,3,0,28.6,3.5,1,11,1,2,1,7.6,0,1,3
30,0,79.2,1.62,30.18,100,166,187,1.26,1046.0,2239.0,1193.0,198.6,0,4,3,3,2,28.0,2.5,2,23,2,1,1,7.3,1,0,4
49,1,115.3,1.91,31.61,100,125,140,1.38,854.0,3759.0,2905.0,271.1,1,2,5,2,2,29.2,3.2,1,2,0,0,1,7.5,0,1,1
24,0,62.9,1.79,19.63,100,135,150,1.42,958.0,1960.0,1002.0,98.6,0,4,2,1,2,27.3,2.3,2,7,2,2,3,6.6,0,2,3
39,1,62.0,1.64,23.05,100,127,161,0.97,678.0,1967.0,1289.0,95.4,0,3,5,1,0,27.5,3.2,1,4,2,2,0,7.3,0,0,1
45,1,88.5,1.78,27.93,100,167,194,1.53,1265.0,2149.0,884.0,92.8,1,4,4,3,1,13.2,3.5,3,24,2,2,2,6.7,0,0,0
19,0,73.9,1.77,23.59,100,137,160,1.28,877.0,1908.0,1031.0,99.7,2,3,4,3,1,32.5,2.6,2,15,0,1,3,7.5,0,0,5
59,1,50.3,1.95,13.23,100,167,184,1.07,885.0,1628.0,743.0,108.6,2,3,4,2,3,24.4,3.4,1,9,0,0,0,8.6,0,0,3
23,1,83.1,1.8,25.65,100,162,183,0.7,624.0,2739.0,2115.0,193.1,2,3,4,2,1,29.3,3.1,1,5,2,2,0,6.0,0,2,5
45,0,65.1,1.78,20.55,100,158,178,1.46,1038.0,2164.0,1126.0,121.4,0,3,3,2,1,31.3,2.3,1,5,2,0,0,8.1,0,2,2
45,1,46.6,1.79,14.54,100,168,190,1.46,1214.0,1359.0,145.0,65.4,3,3,4,1,1,22.9,2.4,2,14,1,2,0,8.3,0,0,3
37,1,103.5,1.89,28.97,100,168,191,0.54,499.0,3173.0,2674.0,147.8,0,2,5,1,1,26.4,3.1,1,5,2,1,0,6.9,1,0,5
47,0,61.9,1.54,26.1,100,131,150,1.95,1150.0,1859.0,709.0,96.9,3,4,3,0,1,16.4,2.7,3,36,2,0,1,4.9,0,0,0
28,0,52.0,1.61,20.06,100,164,179,1.32,1082.0,1328.0,246.0,85.1,3,3,4,1,2,27.9,2.0,2,18,0,2,3,6.7,0,0,5
45,1,113.4,1.71,38.78,100,129,162,0.83,530.0,2812.0,2282.0,259.5,2,2,5,3,2,24.0,2.3,1,11,1,1,1,8.3,0,2,5
42,1,62.9,1.98,16.04,100,126,150,1.42,886.0,1963.0,1077.0,82.7,3,4,3,0,2,28.5,3.4,2,35,2,2,1,7.0,0,0,5
56,0,40.4,1.8,12.47,100,165,191,1.23,913.0,1295.0,382.0,58.5,0,4,4,0,2,30.0,2.1,2,29,1,2,2,6.0,0,0,3
50,0,67.1,1.75,21.91,100,120,149,0.67,362.0,1630.0,1268.0,91.2,0,3,3,3,1,31.8,2.7,1,11,1,1,0,6.5,1,1,4
18,1,70.0,1.61,27.01,100,168,191,1.3,1201.0,2245.0,1044.0,153.4,2,2,5,1,0,23.9,2.5,1,1,2,1,1,7.8,0,0,5
44,0,69.5,1.75,22.69,100,155,189,1.02,711.0,2383.0,1672.0,168.3,1,3,4,2,3,27.6,2.1,1,1,1,2,3,7.5,0,2,0
30,1,107.9,1.66,39.16,100,140,171,1.08,832.0,3209.0,2377.0,185.3,0,3,5,0,3,29.5,2.8,2,25,2,2,2,6.8,0,1,3
58,1,109.0,1.91,29.88,100,156,187,1.49,1151.0,2572.0,1421.0,182.7,3,3,5,3,3,26.0,2.2,2,13,0,2,0,6.9,1,0,5
20,1,101.0,1.91,27.69,100,143,177,1.36,1070.0,2407.0,1337.0,161.6,0,3,4,3,3,29.3,2.7,2,8,0,2,3,6.9,0,1,2
56,1,88.5,1.85,25.86,100,144,170,1.57,1119.0,2138.0,1019.0,139.1,0,4,3,3,2,11.0,3.5,3,72,0,2,0,6.4,0,0,3
