Age,Gender,Weight (kg),Height (m),BMI,Low_BPM,Avg_BPM,High_BPM,Session_Duration (hours),Calories_Burned,Daily_Calorie_Intake (kcal),Calorie_Balance (kcal),Protein_Intake (g/day),Workout_Type,Workout_Frequency (days/week),Rest_Days_Per_Week,Fitness_Goal,Preferred_Workout_Time,Fat_Percentage,Water_Intake (liters),Experience_Level,Membership_Duration (months),Work_Type,Income_Level,Diet_Type,Sleep_Hours_Per_Day,Smoking,Alcohol_Consumption,Medical_Condition
41,Female,43.8,1.77,13.98,100,165,191,1.19,884.0,1200.0,316.0,69.1,Cardio,3,4,Weight Loss,Morning,31.9,1.6,1,1,Active,Middle,Balanced,8.8,Yes,Occasional,None
47,Female,66.8,1.75,21.81,100,146,172,1.13,742.0,2143.0,1401.0,153.5,Strength,3,5,Muscle Gain,Afternoon,32.8,2.5,2,6,Active,Low,Balanced,6.8,Yes,Occasional,None
55,Female,75.2,1.67,26.96,100,167,198,1.37,1030.0,2027.0,997.0,123.2,HIIT,2,5,Endurance,Night,25.2,2.2,1,8,Sedentary,Low,Vegan,5.9,No,Occasional,High Cholesterol
19,Male,89.0,1.77,28.41,100,127,151,1.5,1048.0,3205.0,2157.0,206.7,Strength,4,3,Muscle Gain,Evening,28.9,3.7,2,18,Active,Middle,High-Protein,7.4,No,Occasional,None
38,Male,71.9,1.77,22.95,100,142,172,1.12,875.0,2371.0,1496.0,169.6,Cardio,2,5,General Fitness,Evening,25.7,3.1,1,6,Sedentary,Low,High-Protein,5.2,No,Regular,None
50,Female,71.0,1.68,25.16,100,161,190,1.17,848.0,2414.0,1566.0,170.1,Yoga,2,5,Muscle Gain,Evening,33.1,2.5,1,3,Sedentary,Middle,Vegetarian,7.3,No,None,Obesity
29,Male,120.9,1.78,38.16,100,168,197,0.78,721.0,2803.0,2082.0,177.1,Yoga,2,4,Weight Loss,Night,28.1,3.4,1,10,Sedentary,Middle,Balanced,6.9,No,Occasional,Diabetes
39,Female,64.3,1.69,22.51,100,148,181,1.25,925.0,1878.0,953.0,108.0,HIIT,4,3,General Fitness,Evening,26.9,1.9,2,12,Active,Low,Vegetarian,6.8,Yes,Occasional,None
42,Female,63.7,1.71,21.78,100,169,195,1.42,1080.0,2034.0,954.0,110.2,Yoga,3,3,Endurance,Night,26.1,1.8,2,27,Mixed,Middle,Balanced,5.4,No,None,None
44,Male,65.2,1.8,20.12,100,139,173,0.73,502.0,2232.0,1730.0,117.8,HIIT,2,4,Muscle Gain,Evening,27.2,2.7,1,5,Sedentary,High,High-Protein,7.5,No,Occasional,None
59,Male,53.9,1.75,17.6,100,135,152,1.48,989.0,1290.0,301.0,106.7,Strength,4,2,Endurance,Evening,21.6,2.8,2,8,Active,Low,Vegetarian,6.8,No,Occasional,Obesity
45,Male,84.9,1.86,24.54,100,136,155,1.64,1104.0,3083.0,1979.0,182.4,HIIT,5,2,Muscle Gain,Morning,14.2,3.5,3,37,Active,High,High-Protein,6.1,No,Regular,Hypertension
33,Female,78.0,1.68,27.64,100,135,168,1.29,871.0,2642.0,1771.0,127.3,HIIT,3,3,Endurance,Afternoon,32.3,1.8,2,21,Sedentary,Middle,Balanced,4.1,No,Regular,None
32,Male,108.2,1.8,33.4,100,138,159,1.27,964.0,2579.0,1615.0,154.1,HIIT,3,4,Weight Loss,Evening,28.4,3.5,1,4,Active,Middle,Balanced,7.3,No,Occasional,None
20,Female,65.4,1.52,28.31,100,127,150,1.03,654.0,1490.0,836.0,99.7,Yoga,4,2,Weight Loss,Afternoon,28.0,2.2,2,34,Sedentary,Middle,Balanced,8.8,No,Occasional,None
54,Female,50.2,1.61,19.37,100,157,178,1.48,1046.0,1411.0,365.0,60.8,HIIT,2,5,Weight Loss,Evening,28.2,2.7,1,11,Sedentary,Low,Balanced,8.7,No,Occasional,High Cholesterol
24,Female,58.9,1.51,25.83,100,157,189,1.04,816.0,1712.0,896.0,89.2,Cardio,2,5,General Fitness,Morning,31.7,2.5,1,11,Mixed,Low,Balanced,6.5,No,Occasional,None
38,Male,81.4,1.71,27.84,100,148,166,1.52,1237.0,1824.0,587.0,107.3,HIIT,5,3,Weight Loss,Evening,10.2,3.5,3,24,Mixed,High,Balanced,6.4,No,Occasional,Hypertension
26,Male,127.6,1.73,42.63,100,160,188,1.32,1162.0,3889.0,2727.0,187.1,Strength,3,4,Endurance,Morning,27.3,2.9,1,9,Mixed,Middle,Vegan,7.5,No,Occasional,None
56,Female,59.3,1.56,24.37,100,155,187,1.26,879.0,1821.0,942.0,121.5,Cardio,4,3,General Fitness,Night,33.4,2.6,2,10,Sedentary,Middle,High-Protein,6.0,No,Occasional,Diabetes
35,Male,96.9,1.71,33.14,100,145,168,1.34,1069.0,3185.0,2116.0,209.8,Strength,3,4,Muscle Gain,Evening,24.2,2.9,2,23,Sedentary,Middle,Vegan,7.3,No,None,High Cholesterol
21,Male,62.6,1.81,19.11,100,150,166,1.3,1072.0,1991.0,919.0,140.2,Strength,4,3,Muscle Gain,Morning,27.6,3.5,2,17,Mixed,Middle,Balanced,7.8,No,Occasional,Hypertension
42,Male,45.5,1.6,17.77,100,163,197,1.31,1057.0,1587.0,530.0,98.2,Strength,3,3,Muscle Gain,Afternoon,21.7,2.6,2,16,Active,Middle,Balanced,8.5,No,None,None
31,Female,48.8,1.51,21.4,100,131,160,1.48,969.0,1634.0,665.0,76.0,Cardio,2,5,Endurance,Afternoon,28.2,2.0,1,9,Sedentary,Low,Vegetarian,6.9,No,Occasional,Hypertension
26,Female,44.3,1.6,17.3,100,136,157,1.08,734.0,1289.0,555.0,57.0,Cardio,3,4,Endurance,Morning,34.7,2.0,1,7,Active,Middle,Balanced,7.1,No,Occasional,Diabetes
43,Male,113.2,1.83,33.8,100,134,160,1.45,962.0,3693.0,2731.0,247.0,Yoga,4,4,Muscle Gain,Evening,29.9,2.9,2,19,Sedentary,Middle,Balanced,6.1,Yes,Regular,Hypertension
19,Female,60.5,1.59,23.93,100,128,150,1.14,730.0,1708.0,978.0,81.4,Cardio,2,5,General Fitness,Morning,30.1,2.2,1,8,Mixed,Low,Vegetarian,6.2,No,Occasional,Obesity
37,Male,124.2,1.76,40.1,100,158,187,1.5,1304.0,3886.0,2582.0,300.0,HIIT,2,5,General Fitness,Night,29.3,2.8,1,3,Sedentary,Middle,High-Protein,6.8,No,Occasional,Diabetes
45,Male,52.4,1.85,15.31,100,161,178,1.2,956.0,1689.0,733.0,97.0,Strength,3,5,General Fitness,Morning,25.2,2.5,1,7,Mixed,Middle,Balanced,7.4,No,Regular,Obesity
24,Male,54.7,1.74,18.07,100,167,195,0.84,772.0,1795.0,1023.0,78.8,Yoga,3,5,General Fitness,Evening,22.9,3.6,1,11,Sedentary,Low,Vegetarian,7.9,No,Regular,Hypertension
25,Male,88.1,1.95,23.17,100,131,162,1.41,1016.0,2608.0,1592.0,140.9,Cardio,2,5,Endurance,Morning,22.7,3.0,1,1,Active,Low,Balanced,6.5,No,Occasional,None
52,Female,59.7,1.71,20.42,100,151,169,1.23,836.0,1568.0,732.0,77.5,Strength,3,3,Endurance,Afternoon,34.3,2.0,1,6,Active,Low,Vegan,8.8,No,Regular,None
31,Female,79.7,1.54,33.61,100,144,176,1.03,742.0,2528.0,1786.0,112.1,Cardio,4,3,General Fitness,Evening,26.7,2.3,2,31,Sedentary,High,Balanced,6.7,No,Occasional,None
34,Female,51.0,1.62,19.43,100,158,180,1.42,1122.0,1674.0,552.0,78.5,Yoga,3,3,Endurance,Evening,30.8,2.4,2,11,Mixed,High,Balanced,7.0,No,Occasional,Obesity
53,Male,84.2,1.76,27.18,100,137,155,1.67,1133.0,2281.0,1148.0,144.8,Cardio,5,3,General Fitness,Evening,12.8,3.5,3,82,Mixed,High,Balanced,6.3,No,Occasional,Asthma
57,Male,122.1,1.89,34.18,100,134,150,1.13,750.0,2743.0,1993.0,300.0,Cardio,3,3,Weight Loss,Evening,27.4,3.6,1,10,Mixed,High,High-Protein,4.6,No,Occasional,Diabetes
21,Male,96.7,1.72,32.69,100,151,171,1.26,1046.0,3326.0,2280.0,212.4,Strength,3,3,Muscle Gain,Morning,25.0,2.8,1,6,Mixed,Low,Balanced,7.9,No,Occasional,None
19,Female,73.0,1.79,22.78,100,125,149,0.81,506.0,2039.0,1533.0,104.1,HIIT,3,3,Endurance,Evening,27.7,1.6,1,3,Active,High,Balanced,8.0,Yes,Occasional,None
23,Male,114.8,1.6,44.84,100,163,181,1.47,1318.0,3167.0,1849.0,251.5,Cardio,4,3,General Fitness,Morning,21.7,2.7,2,11,Mixed,Middle,High-Protein,6.7,No,None,Asthma
59,Female,65.5,1.52,28.35,100,162,194,1.4,1021.0,1761.0,740.0,77.2,Yoga,3,5,Weight Loss,Morning,31.2,2.1,2,19,Sedentary,Low,Balanced,7.1,Yes,Occasional,Hypertension
21,Female,50.3,1.52,21.77,100,154,180,1.08,832.0,1581.0,749.0,86.9,Cardio,3,5,Endurance,Evening,32.2,2.6,1,3,Sedentary,Middle,Vegetarian,7.5,No,Occasional,None
46,Female,61.0,1.71,20.86,100,153,169,1.67,1150.0,1843.0,693.0,92.1,Cardio,4,3,Endurance,Evening,17.8,2.7,3,33,Sedentary,Middle,High-Protein,5.4,No,Occasional,Hypertension
35,Female,44.6,1.62,16.99,100,157,181,0.56,440.0,1381.0,941.0,89.3,HIIT,2,4,Muscle Gain,Evening,32.4,2.0,1,9,Sedentary,Middle,Vegan,6.5,Yes,Occasional,None
43,Female,58.2,1.61,22.45,100,124,142,1.04,580.0,1815.0,1235.0,88.5,Strength,3,3,Endurance,Evening,26.4,2.6,2,28,Sedentary,Middle,Vegetarian,7.8,Yes,Occasional,None
51,Female,44.8,1.63,16.86,100,137,165,1.08,666.0,1262.0,596.0,64.3,Yoga,4,3,Endurance,Afternoon,33.8,2.1,2,35,Sedentary,Middle,Vegetarian,5.7,Yes,Occasional,Hypertension
27,Male,87.5,1.63,32.93,100,135,165,1.75,1299.0,2972.0,1673.0,171.5,Strength,5,2,Muscle Gain,Afternoon,12.9,3.5,3,75,Mixed,Middle,Balanced,7.3,No,Regular,None
53,Male,51.8,1.74,17.11,100,127,156,1.23,773.0,1807.0,1034.0,98.6,Strength,3,4,Muscle Gain,Morning,21.3,3.7,2,24,Sedentary,Low,High-Protein,5.6,No,Occasional,High Cholesterol
31,Female,64.4,1.7,22.28,100,144,166,1.97,1418.0,2111.0,693.0,125.3,Strength,5,2,Muscle Gain,Evening,17.3,2.7,3,45,Sedentary,High,Balanced,7.5,No,Occasional,None
48,Female,67.1,1.61,25.89,100,151,179,0.62,421.0,2101.0,1680.0,89.4,Cardio,2,5,Endurance,Afternoon,33.4,1.5,1,9,Active,High,Vegetarian,7.3,Yes,Occasional,None
32,Male,85.9,1.6,33.55,100,145,167,1.99,1587.0,2110.0,523.0,208.6,HIIT,5,2,Weight Loss,Afternoon,14.5,3.5,3,42,Sedentary,High,High-Protein,5.4,Yes,Regular,None
25,Female,65.4,1.77,20.88,100,141,171,0.89,627.0,1601.0,974.0,176.1,Cardio,3,5,Weight Loss,Evening,27.6,2.6,1,8,Mixed,Middle,High-Protein,8.2,Yes,Regular,Diabetes
31,Female,61.1,1.76,19.72,100,150,177,1.81,1358.0,1749.0,391.0,94.4,Yoga,4,4,General Fitness,Evening,18.6,2.7,3,77,Sedentary,High,Balanced,6.3,Yes,Regular,None
40,Male,106.5,1.65,39.12,100,162,194,1.32,1176.0,3745.0,2569.0,248.3,HIIT,4,4,Muscle Gain,Afternoon,21.0,3.6,2,9,Mixed,Middle,High-Protein,6.2,No,Occasional,Hypertension
57,Female,64.0,1.52,27.7,100,129,158,1.73,1004.0,1741.0,737.0,117.6,Strength,5,2,Endurance,Evening,15.2,2.7,3,28,Mixed,Middle,High-Protein,7.2,No,Occasional,None
38,Female,61.4,1.54,25.89,100,131,158,1.47,963.0,2008.0,1045.0,132.6,HIIT,3,4,Muscle Gain,Evening,30.6,2.7,2,24,Sedentary,Low,Balanced,8.1,No,Regular,None
33,Female,40.5,1.63,15.24,100,147,170,1.07,786.0,1200.0,414.0,57.0,Yoga,4,3,Endurance,Evening,31.9,1.5,2,19,Sedentary,Middle,High-Protein,6.0,Yes,None,None
35,Male,70.1,1.79,21.88,100,125,154,1.08,743.0,2198.0,1455.0,102.7,Cardio,3,4,Endurance,Morning,28.0,2.3,2,23,Mixed,High,Vegan,7.1,No,Occasional,Asthma
41,Male,94.1,1.62,35.86,100,139,166,1.13,777.0,2349.0,1572.0,126.6,Cardio,4,3,Weight Loss,Morning,23.4,3.1,2,30,Mixed,Low,Vegetarian,7.4,No,Regular,Obesity
43,Male,55.5,1.82,16.76,100,124,139,1.08,663.0,1906.0,1243.0,135.3,Strength,3,3,Muscle Gain,Morning,20.1,2.0,1,3,Mixed,High,Balanced,7.7,No,Occasional,None
42,Female,53.7,1.72,18.15,100,142,163,1.37,875.0,1607.0,732.0,86.5,Cardio,3,3,Endurance,Evening,29.8,1.6,1,6,Mixed,Middle,Vegetarian,7.2,No,Occasional,None
58,Female,66.1,1.75,21.58,100,128,151,0.63,363.0,2193.0,1830.0,117.1,Cardio,2,4,Endurance,Night,25.2,1.8,1,5,Sedentary,Middle,Balanced,6.6,Yes,Occasional,Obesity
46,Male,103.9,1.77,33.16,100,148,163,1.18,864.0,2753.0,1889.0,198.5,Yoga,2,5,Weight Loss,Evening,20.9,2.9,1,10,Sedentary,Low,High-Protein,6.2,No,Occasional,None
32,Female,61.7,1.58,24.72,100,135,161,1.87,1262.0,2054.0,792.0,111.5,HIIT,5,1,Muscle Gain,Morning,16.6,2.7,3,66,Sedentary,Middle,Balanced,7.1,No,None,Asthma
18,Female,52.3,1.74,17.27,100,165,187,1.2,990.0,1365.0,375.0,76.7,Cardio,2,5,Weight Loss,Evening,29.4,2.2,1,8,Mixed,High,Balanced,5.9,No,None,None
42,Female,59.5,1.74,19.65,100,141,166,1.78,1129.0,1530.0,401.0,101.0,Yoga,5,2,Weight Loss,Evening,16.4,2.7,3,28,Active,Middle,Balanced,4.4,No,Occasional,Obesity
24,Female,72.9,1.76,23.53,100,127,160,0.86,546.0,2214.0,1668.0,168.9,Yoga,3,4,General Fitness,Night,30.8,1.5,1,11,Sedentary,Low,High-Protein,7.4,No,Occasional,Diabetes
26,Female,76.7,1.63,28.87,100,139,170,1.08,751.0,2572.0,1821.0,173.0,Strength,2,4,Muscle Gain,Evening,25.6,1.7,1,8,Sedentary,Low,Balanced,7.9,No,Occasional,High Cholesterol
41,Male,72.1,1.83,21.53,100,133,155,1.13,744.0,2206.0,1462.0,102.8,Yoga,3,5,Endurance,Night,21.4,2.8,2,32,Sedentary,Low,High-Protein,4.6,No,Occasional,Hypertension
18,Female,54.8,1.68,19.42,100,158,175,1.27,1003.0,1941.0,938.0,110.1,Strength,4,2,Muscle Gain,Morning,32.0,2.2,2,10,Sedentary,Low,High-Protein,6.0,No,Occasional,None
25,Male,105.0,1.88,29.71,100,156,173,1.34,1150.0,3004.0,1854.0,253.8,Cardio,3,3,General Fitness,Morning,21.4,2.3,2,16,Mixed,Middle,High-Protein,7.6,No,Regular,Obesity
41,Female,55.0,1.55,22.89,100,169,184,1.45,1103.0,1938.0,835.0,114.2,Strength,4,3,Muscle Gain,Morning,31.4,2.0,2,31,Active,Middle,Balanced,9.4,No,Occasional,None
28,Male,81.6,1.66,29.61,100,153,172,1.09,917.0,2617.0,1700.0,137.4,Yoga,4,3,Endurance,Evening,20.5,3.5,2,18,Mixed,Middle,Balanced,7.0,No,Occasional,None
34,Female,75.6,1.6,29.53,100,130,154,0.64,416.0,1951.0,1535.0,126.1,HIIT,2,5,Weight Loss,Morning,29.1,2.7,1,6,Active,Low,Balanced,6.6,Yes,Occasional,Diabetes
25,Male,81.5,1.61,31.44,100,159,180,1.93,1688.0,2622.0,934.0,206.2,HIIT,4,3,General Fitness,Evening,10.9,3.5,3,60,Sedentary,High,High-Protein,6.8,No,Regular,Asthma
52,Female,61.5,1.69,21.53,100,152,175,1.8,1231.0,1905.0,674.0,129.0,Cardio,4,4,General Fitness,Afternoon,15.5,2.7,3,41,Mixed,High,High-Protein,8.4,No,Regular,High Cholesterol
52,Male,74.0,1.63,27.85,100,150,171,1.26,936.0,2175.0,1239.0,134.2,Cardio,3,5,General Fitness,Afternoon,25.7,3.7,2,31,Mixed,Low,Balanced,6.4,No,Occasional,None
50,Female,56.4,1.59,22.31,100,163,186,1.26,924.0,1913.0,989.0,127.2,HIIT,3,4,Muscle Gain,Evening,34.3,2.6,1,10,Active,Low,Vegan,6.5,No,Regular,Diabetes
22,Male,102.6,1.84,30.3,100,153,175,1.25,1052.0,2461.0,1409.0,152.8,Strength,3,3,Weight Loss,Morning,20.5,2.7,2,21,Mixed,Low,Vegetarian,6.5,No,Regular,Asthma
59,Female,54.6,1.57,22.15,100,169,195,0.58,441.0,1870.0,1429.0,113.4,Cardio,3,4,Muscle Gain,Morning,29.2,2.3,1,6,Active,Middle,High-Protein,6.3,Yes,Occasional,None
56,Male,129.0,1.78,40.71,99,126,142,1.29,805.0,3237.0,2432.0,133.5,Yoga,2,5,Weight Loss,Evening,27.1,2.7,1,7,Active,Middle,Vegan,7.4,No,Occasional,Hypertension
58,Male,103.5,1.66,37.56,100,168,183,1.33,1106.0,2799.0,1693.0,103.6,Cardio,3,4,General Fitness,Morning,24.6,3.1,1,3,Active,High,Vegan,8.9,Yes,Occasional,None
45,Female,59.4,1.51,26.05,100,142,172,1.15,735.0,1506.0,771.0,78.4,Strength,4,3,Weight Loss,Evening,33.1,1.9,2,8,Sedentary,Low,Vegan,7.3,No,Occasional,None
24,Female,60.1,1.79,18.76,100,165,184,1.97,1625.0,1403.0,-222.0,98.7,Cardio,4,2,Weight Loss,Night,15.9,2.7,3,35,Sedentary,Middle,Vegetarian,6.7,Yes,Occasional,High Cholesterol
26,Male,77.7,1.62,29.61,100,126,143,1.16,804.0,2045.0,1241.0,108.1,Yoga,3,5,Weight Loss,Night,29.6,3.0,2,28,Sedentary,Low,Vegetarian,6.7,No,None,Hypertension
25,Female,41.2,1.62,15.7,100,144,170,1.49,1073.0,1200.0,127.0,67.8,Yoga,4,3,Weight Loss,Evening,28.9,2.1,2,20,Active,Middle,Balanced,5.7,No,Occasional,Diabetes
29,Male,58.6,1.61,22.61,100,122,144,1.2,805.0,1863.0,1058.0,119.9,Yoga,3,5,Muscle Gain,Afternoon,23.4,2.0,2,16,Sedentary,Middle,High-Protein,7.9,No,Occasional,High Cholesterol
51,Male,109.3,1.78,34.5,100,157,174,0.54,420.0,3202.0,2782.0,182.8,Strength,3,4,Endurance,Afternoon,28.7,3.3,1,10,Active,Low,High-Protein,7.2,No,Occasional,Hypertension
50,Male,69.6,1.96,18.12,100,139,154,0.97,667.0,2294.0,1627.0,126.8,Strength,3,5,Muscle Gain,Morning,25.6,2.0,1,4,Mixed,Middle,Balanced,6.8,No,Regular,Asthma
40,Female,56.2,1.79,17.54,100,153,170,1.79,1369.0,1425.0,56.0,84.5,Yoga,5,2,Weight Loss,Afternoon,17.6,2.7,3,70,Sedentary,High,Vegan,10.0,No,Occasional,None
41,Male,71.7,1.96,18.66,100,168,187,0.51,424.0,2313.0,1889.0,124.3,Yoga,2,5,Endurance,Morning,27.3,2.5,1,2,Active,Middle,Balanced,7.6,No,Regular,Asthma
54,Male,86.0,1.93,23.09,100,163,192,1.74,1404.0,2636.0,1232.0,188.1,Strength,5,3,Muscle Gain,Afternoon,12.9,3.5,3,80,Mixed,Middle,Balanced,6.2,Yes,Occasional,None
52,Female,79.4,1.59,31.41,100,163,191,1.39,1020.0,1916.0,896.0,105.9,Strength,3,4,Weight Loss,Night,26.6,1.5,2,19,Sedentary,High,Vegetarian,6.6,No,Occasional,High Cholesterol
57,Female,78.4,1.62,29.87,100,149,166,1.01,677.0,2712.0,2035.0,174.6,Strength,4,3,Muscle Gain,Afternoon,31.7,2.0,2,34,Sedentary,High,High-Protein,8.1,Yes,Occasional,None
39,Female,55.4,1.6,21.64,100,136,151,1.44,979.0,1680.0,701.0,90.6,HIIT,3,4,Endurance,Evening,26.3,1.6,2,30,Sedentary,High,Balanced,7.1,No,Occasional,None
44,Female,61.7,1.55,25.68,100,129,148,1.41,819.0,1953.0,1134.0,98.2,Strength,4,3,Endurance,Evening,33.1,2.6,2,11,Sedentary,High,Balanced,5.6,No,Occasional,Diabetes
52,Male,85.5,1.82,25.81,100,154,182,1.78,1357.0,2547.0,1190.0,125.3,Yoga,4,3,Endurance,Afternoon,14.9,3.5,3,69,Mixed,High,High-Protein,7.9,No,Occasional,Hypertension
18,Male,87.6,1.93,23.52,100,139,160,1.72,1315.0,2265.0,950.0,176.7,HIIT,4,4,Weight Loss,Night,11.9,3.5,3,39,Mixed,High,High-Protein,6.3,No,Occasional,Hypertension
52,Male,82.4,1.72,27.85,100,137,160,1.01,685.0,2464.0,1779.0,124.9,Strength,4,4,General Fitness,Morning,24.4,2.7,2,7,Active,Low,Vegetarian,9.2,No,Occasional,Hypertension
54,Male,67.0,1.68,23.74,100,164,193,0.55,446.0,2137.0,1691.0,106.9,Yoga,3,4,General Fitness,Evening,20.5,2.8,1,3,Mixed,Middle,Balanced,8.1,Yes,Occasional,Diabetes
31,Female,42.3,1.6,16.52,100,163,192,1.09,888.0,1211.0,323.0,53.7,Cardio,3,3,General Fitness,Afternoon,25.1,1.9,2,10,Mixed,Middle,Vegan,6.6,No,Regular,None
20,Male,82.7,1.99,20.88,100,146,170,1.69,1357.0,1744.0,387.0,121.6,HIIT,5,1,Weight Loss,Morning,14.6,3.5,3,34,Sedentary,High,Balanced,8.3,No,None,None
18,Male,92.4,1.74,30.52,100,168,195,1.41,1303.0,2945.0,1642.0,211.4,Yoga,2,5,General Fitness,Afternoon,21.3,3.1,1,11,Mixed,Middle,High-Protein,7.1,No,Occasional,None
22,Female,63.2,1.54,26.65,100,155,188,1.02,790.0,1919.0,1129.0,161.9,Cardio,4,2,General Fitness,Evening,29.5,2.4,2,26,Active,Middle,High-Protein,8.2,No,Occasional,None
43,Male,82.7,1.85,24.16,100,142,163,1.22,858.0,2417.0,1559.0,172.5,Yoga,4,3,General Fitness,Morning,28.2,3.1,2,34,Mixed,Middle,High-Protein,7.5,No,Regular,None
31,Male,86.6,1.76,27.96,100,151,182,1.29,1071.0,2163.0,1092.0,115.6,Strength,3,5,Weight Loss,Morning,28.9,3.3,2,30,Mixed,High,Vegan,6.2,No,Occasional,None
56,Male,129.5,1.95,34.06,100,129,163,1.0,639.0,4087.0,3448.0,208.8,Strength,2,5,Endurance,Morning,25.2,3.5,1,10,Sedentary,Low,Vegetarian,6.4,No,None,Hypertension
44,Male,98.0,1.83,29.26,100,130,148,1.28,824.0,2631.0,1807.0,112.2,Cardio,4,2,General Fitness,Evening,25.7,3.5,2,24,Sedentary,Middle,Vegan,8.0,No,Occasional,None
26,Male,86.2,1.68,30.54,100,157,176,1.97,1701.0,2802.0,1101.0,171.4,Strength,5,3,Muscle Gain,Evening,13.3,3.5,3,55,Sedentary,High,Vegetarian,6.7,No,Occasional,Hypertension
32,Male,78.6,1.62,29.95,100,125,146,1.28,880.0,2699.0,1819.0,170.6,Yoga,3,4,Muscle Gain,Afternoon,29.6,3.1,1,2,Active,Low,Balanced,6.9,No,None,Obesity
32,Female,59.0,1.66,21.41,100,160,187,0.51,408.0,1804.0,1396.0,139.0,Cardio,2,5,General Fitness,Afternoon,31.0,1.8,1,10,Mixed,Low,High-Protein,6.0,No,Occasional,None
43,Female,57.3,1.79,17.88,100,166,195,1.98,1479.0,1817.0,338.0,93.5,Yoga,4,2,Endurance,Night,17.8,2.7,3,31,Mixed,Middle,Vegetarian,7.4,No,Regular,Hypertension
